,Normal,Crisis,Delta
DXY,0.012610517467216274,0.006692095068944667,-0.005918422398271607
USDINR,0.003189441260340747,0.005902317188395911,0.0027128759280551635
VIX,0.005691814751364108,0.004589656989432043,-0.0011021577619320646
FSI,0.0012259725664454085,0.004227756067088379,0.0030017835006429707
Fed,0.0030490651953733344,0.0034480968463831366,0.00039903165100980227
Spread,0.013801236689458034,0.002737143803753681,-0.011064092885704353
Inflation,0.007606006940405915,0.002700686745507623,-0.004905320194898291
US10Y,0.003403342310347942,0.0024604872450864524,-0.0009428550652614896
RealYield,0.006669703435242298,0.0019955950474319245,-0.004674108387810374
