,USDINR,USDINR_p10,USDINR_p90,Silver_USD_per_oz,Silver_USD_p10,Silver_USD_p90,Silver_INR_kg
2026-10-31,94.71321916837819,93.54169843188771,95.85487895224045,67.99459516055113,64.01626879717459,70.54882913815746,207050.2353017
2026-11-30,94.72218054224349,92.97808837765416,96.39360902648292,70.3438938742006,65.42700969843705,74.3978439748357,214224.3482436525
2026-12-31,94.7741891370432,92.4280696492651,96.79549560601976,72.83067286557687,66.81189188517224,78.15937634307458,221919.33271626348
