,USDINR,USDINR_p10,USDINR_p90,Gold_USD_per_oz,Gold_USD_p10,Gold_USD_p90,Gold_INR_10g
2026-10-31,94.71321916837819,93.54169843188771,95.85487895224045,4441.324572621623,4362.824551214745,4519.948960967949,135242.70504753976
2026-11-30,94.72218054224349,92.97808837765416,96.39360902648292,4470.247066408823,4344.530169734683,4584.937314329133,136136.30288964615
2026-12-31,94.7741891370432,92.4280696492651,96.79549560601976,4503.082127744385,4349.107906706777,4657.512867518606,137211.55409342525
